,What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?
1096,B.Tech,Business,"Supply Chain Analysis;Gardening;Service;Industires;Agriculture, services",Business Knowledge;People management;Machine Learning skills;Hospitality,63.59
1097,BE,Computer Science Engineering,"Financial Analysis, Sales/Marketing, Technology, Trading","AI, Python, Programming, Communication Skills, C++",76
1098,B.Com,Electronics and Communication Engineering,Service,Accounting Skills;Active Listening;Hardware skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Writing skills;HR,62.7
1099,B.Tech,Civil engineering,"Web development,Social causes,All fields related to Data science,Machine Learning,Data scientist",Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP;Codeignitor;Loopback;,76.95
1100,B.Tech,Mechanical Engineering,Teaching,"Active Listening,Work under Pressure,Team work,Presentation skills",74.1
1101,B.Tech,Mechanical Engineering,Technology,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Negotiation skills;Leadership;Content creation,75
1102,B.E,Electronics and telecommunication ,Data Analytics,AutoCard,66.5
1103,B.Tech,Media Management,Sales/Marketing;Technology;Content Writing;Market reserach,Critical Thinking;Business Knowledge;Analytical Skills;Leadership;Writing skills;Python;Artificial Intelligence;SQL,69.635
1104,BE,Computer Science Engineering,Data analytics,Active Listening;Gathering Information;Problem Solving skills;Python;MATLAB,73
1105,Journalism ,Mechanical Engineering,News Coverage;Understand human behaviour;Govt. Job,Communication skills;Mass Communication;Leadership;Problem Solving skills;Python,72
1106,B.Sc,Automobile Engineering,Data scientist;Web development;Machine Learning,Active Listening;Programming Language skills;Gathering Information;Python;SQL;Programming Language C,85.5
1107,B.Tech,Mechanical Engineering,Technology;Data analytics;Data scientist,Hardware skills;Programming Language skills;Critical Thinking;Business Knowledge;Leadership;Data Visualization skills( Power Bi/ Tableau );Python;Artificial Intelligence;Good communication skills,71
1108,BE,Business Administration,"Research, Social Justice","Analytic Thinking, Communication Skills, Leadership, Team work, Designing Skills",69.635
1109,B.Tech,Civil Engineering,"Financial Analysis, Take risk for Profits, Technology, Entrepreneurship","Accounting Skills, Active Listening, Java, SQL, Programming, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Team work, Excel, Logical Skills, Presentation Skills, Problem Solving skills, Mass Communication, Writing, Observation Skills, Reading",68.875
1110,BBA,Computer Science Engineering,"Financial Analysis, Trading","Critical Thinking, Analytic Thinking, Market Study",68
1111,B.Tech,Information TechNAlogy,Technology;Understand human behaviour;Govt. Job;Infrastructure;Design;Construction;Construction Manegement,"Proeficiency in Software like STAAD PRO, ETABS;construction management",77.9
1112,BE,Electronics and Communication Engineering,Technology,"Python, Tableau",62
1113,B.Tech,Computer Science Engineering,Technology,Programming,60.8
1114,B.Tech,Accountancy,Data analytics,R;Python;SQL,56
1115,B.Tech,Geography ,Technology;Govt. Job;Sports Industry,Programming Language skills;People management,62
1116,B.Com,Computer Applications,News Coverage;Research;Teaching;Market reserach;Infrastructure;Social causes;Industires,Business Knowledge,63
1117,MBA,Business,Retailer,HR,59
1118,BCA,Automobile Engineering,Data analytics;Data scientist,Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );C++;Java,78
1119,MBA,Cse,Understand human behaviour;Market reserach;Na,Hardware skills;Business Knowledge,60
1120,BE,Sales & Marketing,Entrepreneurship,Creativity Skills,69.35
1121,B.Tech,Structure ,Technology;Understand human body;Web Designing;Web development,Active Listening;Gathering Information;Communication skills;Leadership;Problem Solving skills;Designing skills;Python;Good communication skills,65.55
1122,Agri diploma,Chemical Engineering,"News Coverage, Sales/Marketing, Take risk for Profits, Trading","Gathering Informing, Business Knowledge, Leadership, Market Study, Observation Skills, Risk Managing",58
1123,B.Tech,Management,Trading;Customer care,Critical Thinking;Artistic/Creative Skills;Analytical Skills;Civil & Criminal Law;Problem Solving skills;Risk management skills;Writing skills;Interpersonal skills;Presentation Skills,71.25
1124,B.Tech,Electronics and computer engineering,Technology;Social causes,"Proeficiency in Software like STAAD PRO, ETABS;Good communication skills;Refinery Operations",81.795
1125,BBA,Computer Science ,Sales/Marketing;Market reserach,Active Listening;Hardware skills;Problem Solving skills;Risk management skills;Sales,78
1126,BE,Electronics and Communication Engineering,Web Designing;Data analytics;Data scientist,Hardware skills;Programming Language skills;Analytical Skills;People management;Communication skills;Leadership;Data Visualization skills( Power Bi/ Tableau );C++;R;Python;Content creation,84.455
1127,B.Tech,Commerce,Research;Understand human behaviour;Content Writing;Design;Information Technology,Programming Language skills;Communication skills;Leadership;Product knowledge;Designing skills;Writing skills;C++;Python;SQL;Java,80.75
1128,BE,History,Data scientist,People management,67
1129,B.Com,Business Studies,Sales/Marketing,Business Knowledge;People management;Communication skills;Problem Solving skills;Sales;Social Media Marketing;Interpersonal skills;Presentation Skills,64
1130,BA,Computer Science Engineering,Teaching,Teaching,98
1131,B.Com,EcoNAmics,Financial Analysis;Social Justice;Content Writing;Social media marketing,"Accounting Skills;Hardware skills;Business Knowledge;Finance related skills;Communication skills;Social Media Marketing;Content creation;Teaching;Foreign languages french, Spanish",71.25
1132,B.Sc,Electrical engineering ,"Technology, Understand Human Behaviour","Java, Programming, C++, R",76
1133,BA,Computer Science Engineering,Teaching;Govt. Job,Active Listening;Problem Solving skills;Teaching;Teaching experience,62
1134,B.Tech,Computer Applications,Govt. Job;Industires;SAP Consultant in MM,Designing skills;C++;Python,63.65
1135,MCA,Instrumentation,Design;Salesforce Admin,Critical Thinking;Mass Communication;Leadership;Editing;Designing skills;Cloud Computing;SAP;Salesforce Admin,73
1136,BCA,Electrical and Electronics Engineering,Testing,Java,57
1137,B.Tech,Electrical and Electronics Engineering,Technology;Industires;Design,Automation ,76
1138,B.Tech,Computer Science Engineering,"Research;Teaching;Technology;Data analytics;Agriculture, services",Accounting Skills;Active Listening;Hardware skills;Business Knowledge;Problem Solving skills,77
1139,B.Tech,Computer science and engineering ,Teaching,"Active Listening,Work under Pressure,Team work,Presentation skills",74.1
1140,B.Tech,Computer Science ,Machine Learning,Data Structures;Algorithms;Competitive Programming;C++;JavaScript;JavaJava;Git;IntelliJIDEA;Xcode;Problem Solving;AndroidStudio;Webstorm;Postman API;HTML5;Cascading Style Sheets (CSS);Software Development;Core Java;Bootstrap;JUnit;react;Back-End Web Development;Spring Framework;Hibernate;CPP;Database Management System (DBMS);Linux;Debugging;Object-Oriented Programming (OOP);Object Oriented Design;Databases,86.83
1141,B.Tech,Computer Science ,Technology;Web Designing,Active Listening;Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;Problem Solving skills;Python,63.65
1142,B.Sc,marketing,Web Designing,Programming Language skills;C++;Python;Java,67
1143,B.Sc,Electronics and Communication Engineering,Web development;Information Technology,Programming Language skills;Communication skills;C++,67
1144,MBA, Computer Applications,Sales/Marketing;Supply Chain Analysis;Data analytics,Active Listening;Critical Thinking;Analytical Skills;Finance related skills,55
1145,B.Tech,Computers,"Trading, Entrepreneurship, Understand Human Behaviour","ML, Python",74.1
1146,BCA,Computer Science Engineering,Teaching,Teaching,81.795
1147,MCA,Mechanical Engineering,Technology;Web Designing;Data analytics,Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence;SQL,80
1148,B.Tech,Marketing ,Game industry,"
C++;Unity 3D;Object-Oriented Programming (OOP);Game Development;Data Structures;C#;Unreal Engine 4;C (Programming Language)",70.965
1149,DME,Mechanical Engineering,"Financial Analysis, News Coverage, Social Justice, Entrepreneurship, Understand Human Behaviour, Understand Human Body","Reading, Subject Knowledge",76
1150,PGDM,Electrical and Electronics Engineering,Technology;Data analytics;Digital marketing;Data scientist;Web development;Social media marketing;Information Technology,Risk management skills;Social Media Marketing,50
1151,BE,"Physics, Chemistry and Mathematics",Research;Technology;Data analytics;Data scientist,Active Listening;Critical Thinking;Gathering Information;People management;Problem Solving skills;Risk management skills,69
1152,B.Tech,English,"Technology, Entrepreneurship","ML, Python, SQL, Programming, Team work, Excel, Logical Skills, Presentation Skills, Tableau",77.9
1153,B.Sc,Mechanical Engineering,Data analytics;Data scientist,Programming Language skills;Analytical Skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence;SQL;Good communication skills,55.33
1154,BCA,NAthing ,Financial Analysis;Trading,Analytical Skills,57
1155,BE,Commerce ,Content Writing;Data analytics;Data scientist;Industires,Accounting Skills;Active Listening;Hardware skills;Programming Language skills;Analytical Skills;Editing;HR,61
1156,Diploma,Computer Science Engineering,Teaching,Editing,54
1157,B.Com,Computer Science Engineering,Govt. Job,Accounting Skills;Critical Thinking;Editing;Content creation,58.9
1158,B.Tech,Mechanical Engineering,Web Designing;Information Technology,Programming Language skills,52
1159,B.Tech,Statistics,Research;Data analytics;Web development;Social media marketing;Social causes;Industires;Sports Industry,Programming Language skills;Critical Thinking;Gathering Information;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Problem Solving skills;Risk management skills;C++;Presentation Skills;Linux;Python;Content creation;Java;Cloud Computing;MATLAB;Good communication skills;SAP;AWS;Salesforce Admin,80.75
1160,B.Tech,Automobile Engineering,Industires;Design,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),68.495
1161,B.Sc,Mechanical Engineering ,Financial Analysis;Research;Sales/Marketing;Teaching;Technology;Supply Chain Analysis;Data analytics;Data scientist,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Communication skills;Problem Solving skills;Writing skills;Machine Learning skills;Python;Artificial Intelligence;Automation,65
1162,BE,Mechanical Engineering,Entrepreneurship,"Critical Thinking, Analytic Thinking, Problem Solving skills",71.725
1163,BE,History,Research;Teaching;Supply Chain Analysis;Gardening;Social causes;Industires,Critical Thinking;Artistic/Creative Skills;Analytical Skills;Problem Solving skills;Risk management skills;Artificial Intelligence;Good communication skills,71.3
1164,B.Tech,Graphics,Technology;Trading;Data analytics;Industires,Machine Learning skills;Python,71.25
1165,BA,Mechanical enggineering,Teaching;Trading;Supply Chain Analysis;Data analytics;Market reserach,Active Listening;Business Knowledge;Analytical Skills;Communication skills;Leadership;Problem Solving skills;Sales;Social Media Marketing;Good communication skills;Teaching,50
1166,BE,Agriculture BiotechNAlogy,Web Designing;Design,Designing skills,66.975
1167,B.Tech,Mathematics,Research;Sales/Marketing;Market reserach,Active Listening;Communication skills;Negotiation skills;Problem Solving skills;Client management,65
1168,B.Sc,Commerce,Research,"Active Listening, Analytic Thinking, Gathering Informing, Work under Pressure, Team work, Excel, Logical Skills, Reporting",81.795
1169,B.Sc,Information TechNAlogy ,Research;Govt. Job,Medical knowledge,76
1170,B.Com,Statistics,Understand Human Behaviour,Accounting Skills,80.75
1171,B.Tech,Civil Engineering,Technology;Web Designing;Data analytics,Gathering Information;Analytical Skills;Communication skills;Leadership;Data Visualization skills( Power Bi/ Tableau );Interpersonal skills,80.75
